date,Ndtct,Npct_75,PctRH_75,Npct_50,PctRH_50,Npct_25,PctRH_25,Nfit,SumRH,MaxRH,Tmin,Tavg,Tmax,Temp_BB,Area_BB,Lat,Lon,SATZ
2013-07-10 23:44:52.183,3,1,33.2278,1,33.2278,1,33.2278,2,33.572049,33.2278,0.0,1855.0,1969.0,1741.0,63.7103,45.162109,37.884212,22.2461
2013-07-11 23:26:03.607,5,1,36.3961,1,36.3961,1,36.3961,2,38.30684,36.3961,0.0,1502.0,1564.0,1440.0,149.276,45.163383,37.882454,4.78449
2013-07-12 23:07:11.470,6,2,133.0371,2,133.0371,2,133.0371,3,133.553064,69.6149,0.0,1721.66666666667,1964.0,1668.0,158.631,45.165138,37.881725,30.5538
2013-07-13 00:47:09.383,6,3,167.2487,4,199.5272,4,199.5272,4,199.5272,63.7249,0.0,1726.0,1776.0,1776.0,112.866,45.165546,37.892994,68.0524
2013-07-13 00:47:11.162,4,1,143.234,1,143.234,1,143.234,4,174.99494,143.234,1446.0,1789.75,2097.0,1713.0,293.462,45.162846,37.880108,68.0789
2013-07-13 22:48:15.776,10,1,24.1963,1,24.1963,2,31.59711,5,34.600957,24.1963,0.0,1960.0,2332.0,1846.0,36.7576,45.162758,37.887436,49.1103
2013-07-14 00:28:31.482,8,1,110.489,1,110.489,2,164.6441,6,171.589074,110.489,0.0,1823.5,2197.0,1708.0,228.837,45.156078,37.882488,59.8406
2013-07-14 22:29:16.522,8,1,92.3373,2,143.2082,2,143.2082,5,154.175695,92.3373,0.0,1695.4,2089.0,1675.0,207.035,45.165348,37.875916,61.5405
2013-07-14 22:29:18.301,3,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.145016,37.893368,61.5124
2013-07-15 00:09:50.020,6,1,105.865,1,105.865,2,134.8267,4,138.01939,105.865,0.0,1731.5,1907.0,1581.0,298.636,45.158047,37.877777,47.9233
2013-07-15 22:10:13.705,1,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.157909,37.884781,70.1341
2013-07-15 22:10:15.484,1,1,1.49214,1,1.49214,1,1.49214,1,1.49214,1.49214,2208.0,2208.0,2208.0,2208.0,1.10771,45.159447,37.88203,70.1272
2013-07-15 23:51:04.995,5,1,92.8605,1,92.8605,1,92.8605,4,101.972142,92.8605,0.0,1795.5,2082.0,1561.0,275.583,45.158493,37.881145,29.8865
2013-07-16 23:32:18.189,5,1,90.3712,1,90.3712,1,90.3712,2,90.902986,90.3712,0.0,1730.0,1847.0,1613.0,235.582,45.160294,37.880672,4.61518
